score,review
1,여기 알바생 인지 직원인지 모르겠는데 교육 다시 시키세요;;  밥 다먹고 나갔다가 잠깐 화장실 급해서 다시 들어가서 잠깐 화장실 쓰려고 했는데 x발 마감 해야되는데  이러시면서 궁시렁되시고 일부러 다 들으라고 하는 것 처럼 하네요 ㅋㅋㅋㅋㅋㅋㅋ 진짜 뭐하자는건지 상당히 기분 나쁘네요 못 배운거 티좀 내지 마십쇼 모자라신건가 그냥…
4,곰창 개꿀맛 추천
5,
3,공기 엄청 탁함 여기 직원들 건강이 걱정될 정도로 곱창은 신선한데 왤케 짠거임?? 두번시켰는데 처음 주문한건 괜찮았는데 두번째껀 소태임
1,"환기 하도 안시켜서 가자마자 후추뿌린거같은 매캐한 냄새에 기침,재채기가 계속나옴. 기름 안빠지는 판이라 진짜 겁나느끼함(이건 개인취향일수있음). 곱창집인데 밥떨어졌다고 30분 기다려도 볶음밥 없다그래서 나옴 ㅎ 최악"
1,아는 동생한테 여기 말고 다른 곳으로 오라고 했는데 기어코 검색하면 이 가게가 제일 위에 뜬다고 여기로 오고 주문도 미리 시켰길래 어쩔 수 없이 먹음 매뉴가 나오고 걱정은 현실이 됨 너무 질김 소주 한 잔에 한 입 먹다 도저히 질겨서 바로 뱉고 계산하고 나옴 사람은 왜 이렇게 많은지 알 수 없음
5,줄서서 먹음. 맛있다. 둘이서 삼인분 시켰다. 가루 같은거 뿌려서 구우시는데 딱 맛있다. 분위기도 맛있다. 다만 직원 부르는 시스템이 없어서 벨 설치좀 해야 할듯. 
4,맛있어요.. 곱창보다 대창을 선호하는데 여긴 곱창 곱이 쓰지않고 꽉 차있어서 맛있었어요. 부추에 곱창 기름이 스며들어서 부추랑 같이 먹으니까 더 맛있었습니다. 근데 사람이 엄청 많은데 직원분들이 별로없어서 굽기를 잘 봐주시는 것 같진 않아요. 너무 바빠보여서 탄 부분 잘라내달라고 하는 것도 죄송스러운.. 직원분들 더 있어야할거같아요. 
5,역시 맛집이라 대기가 많던데 오래 기다렸다고 음료서비스도 주시고 사장님넘감사했습니다. 아래 댓글에 서비스 불만글이 좀 있던데 바쁜만큼 이해할 수 있는정도였고 음식점이 맛있으면 됐죠. 큰 서비스 기대없이 방문하면 술한잔하기 최고입니다~
2,개인적으로 강남에서 괜찮다는 음식점이 몇 없다 생각하지만 여기만큼은 최고라 했는데… 최근 방문했을 때 큰 실망을 함. 신촌황소곱창 매장 중 여기 지점이 가장 맛있었으나 이젠 가장 별로인 곳으로 남게 됨. 어떻게 이렇게 질기고 맛이 변할 수 있는지… 맛이 변한건지 아님 내가 하필 상태 별로인 날 방문을 한 건지. 아쉽습니다. 
3,아주머니가 처음부터 계속 손질해주시는데 타이밍 지나면 좀 타더라구요 손님 점점 많아지니까 테이블 신경 못써주심ㅠㅠ그래도 무난했어요
5,2번 갔는데 다 맛있었어요 주차도 돼서 편해요 밑반찬도 괜찮은 편
1,귀찮아서 리뷰 안남기는 스타일인데 여긴 많이 실망이라 남겨요..  2년전부터 강남에서 곱창 땡기면 여기갔는데 곱창이나 대창 둘다 갈수록 점점 질겨져서 먹기 힘들어짐. 이젠 절대 안가려함. 코로나로 힘드신지 직원분들 표정에 영혼도 없고 단체손님만 잘해주는 느낌? 기본으로 나오는 국은 깊은맛이 없고 맵기만 함. 볶음밥도 불판에 올리고 슥슥 대충 휘젓는게 다임....
3,무난
3,
2,너무질겨요ㅜㅜ
3,비싸긴한데 괜찮아요~
1,너무너무너무너무질겨서 삼킬수가 없네요ㅠㅠ
1,할말은 많지만 하지 않습니다
3,제 입맛엔 맛있었어요 다만 직원이 부족해서(?)인지 필요한거 주문할 때 제때 받기 힘들더라구요ㅠㅠ 볶음밥 안 시켰으면 섭할 뻔 했습니다 가게가 좀 더 깨끗하고 서비스가 좋았으면 진짜 자주 갈 것 같아요
3,그닥입니다
3,무난해요 볶음밥이 제일 맛있다..
5,
